current_text,future_mood
I am so nervous about the presentation,sad
"Just had tea, feeling pleased :(",neutral
I am so tired about the presentation :(,neutral
"I can't focus, I'm upset",sad
"I can't focus, I'm sad",sad
I finished my task and feel cheerful,happy
I'm a bit anxious but hopeful...,neutral
I'm a bit stressed but hopeful!,neutral
"Nothing much happened today, just happy",neutral
"Productive morning, feeling cheerful",happy
I'm a bit stressed but hopeful!,happy
I am so worried about the presentation!,sad
"Late night, feeling upset",sad
I'm a bit tired but hopeful,neutral
I am so stressed about the presentation,sad
"I can't focus, I'm tired",sad
"Nothing much happened today, just relaxed",neutral
I finished my task and feel relaxed,happy
"I got praise from my teacher, very confident :(",happy
I'm a bit tired but hopeful,neutral
